model,dev_fold,test_fold,epoch,dev_r2,test_r2,dev_rmse,test_rmse,dev_mae,test_mae,tr_loss,dev_loss,test_loss
squeeze,3,9,9,0.273638,-0.553875,3.160045,5.200102,2.687681,4.192595,17.289129,9.985886,27.041063
squeeze,4,0,29,0.136303,-0.839107,3.803492,6.280968,2.979536,4.518213,15.275255,14.466549,39.450556
squeeze,4,1,20,-0.036304,0.301,4.047142,3.004911,3.241638,2.515151,16.806942,16.379355,9.029492
squeeze,4,2,28,0.1044,0.066418,3.910705,4.00164,3.154929,2.906114,16.58098,15.293615,16.013123
squeeze,4,3,28,0.054287,0.076944,4.032277,3.537926,3.318318,2.984776,18.709026,16.259259,12.516922
squeeze,4,5,9,-0.087053,-0.005762,4.194783,4.244901,3.210156,3.172469,17.863282,17.596201,18.019187
squeeze,4,6,24,-0.027982,0.083149,4.119094,4.472697,3.504798,3.05572,16.54544,16.966937,20.005023
squeeze,4,7,21,-0.03854,-0.884359,4.170744,4.646364,3.430383,3.806398,16.366682,17.395102,21.588701
squeeze,4,8,19,0.002621,0.119967,4.053277,3.606391,3.110493,3.361137,19.035099,16.429056,13.006053
squeeze,4,9,29,0.143716,-1.373916,3.75995,6.231836,3.006047,4.997742,14.115444,14.137228,38.835787
squeeze,5,0,2,0.169866,-1.035613,3.605099,6.648984,2.941812,4.770809,19.036832,12.996738,44.208981
squeeze,5,1,5,0.153314,0.08761,4.173908,3.3567,3.524677,2.907787,18.699935,17.421508,11.267433
squeeze,5,2,20,0.179554,0.149105,3.837887,3.79807,3.15364,2.962103,16.255899,14.729377,14.425336
squeeze,5,3,3,0.156912,0.167672,4.151962,3.454184,3.515442,2.924035,19.946484,17.238785,11.931386
squeeze,5,4,3,0.093524,-0.17666,4.395414,4.41434,3.908668,3.688445,18.489179,19.319668,19.486397
squeeze,5,6,10,0.132253,0.190208,4.19743,4.152741,3.46681,2.726028,17.103288,17.618422,17.245255
squeeze,5,7,24,0.262108,-0.711179,3.743168,4.45391,3.039537,3.6776,16.195298,14.011306,19.837316
squeeze,5,8,18,0.148204,0.185227,4.180227,3.49036,3.331089,3.304414,17.030961,17.474299,12.182614
squeeze,5,9,14,0.261397,-0.889799,3.7591,5.519526,2.882719,4.323419,15.637286,14.130834,30.465161
squeeze,6,0,29,0.151514,-0.890081,4.284188,6.743891,3.091826,5.064305,12.175033,18.354264,45.480074
squeeze,6,1,5,0.182781,-0.022292,4.176424,3.643325,2.78852,3.25132,18.542829,17.442515,13.273819
squeeze,6,2,17,0.180593,0.077176,4.20576,3.785367,2.872786,2.957056,17.258314,17.688415,14.329
squeeze,6,3,31,0.198614,0.004094,4.378341,3.615421,2.97249,3.173766,14.857466,19.169872,13.07127
squeeze,6,4,9,0.184836,-0.075442,4.434258,4.225236,3.007624,3.587856,17.697073,19.662642,17.85262
squeeze,6,5,10,0.172683,0.152456,4.207859,4.19341,2.917417,3.674406,17.685637,17.706077,17.584687
squeeze,6,7,31,0.175452,-0.690549,4.472368,4.299852,3.285899,3.503185,15.101486,20.002073,18.488726
squeeze,6,8,3,0.252478,0.002842,4.242664,3.806534,2.889224,3.600773,19.387328,18.000195,14.489703
squeeze,6,9,26,0.226147,-1.180136,4.272152,6.33938,2.804204,5.131157,15.161888,18.251282,40.187744
squeeze,7,0,28,-0.365893,-1.267024,3.834973,7.016746,3.448779,5.39393,13.495029,14.707021,49.23472
squeeze,7,1,23,-0.533099,0.360263,4.207746,2.819854,3.433602,2.432533,16.461354,17.705127,7.951577
squeeze,7,2,22,-0.621058,0.050444,4.173306,4.223644,3.237921,3.080606,16.382476,17.416484,17.839171
